,hotel_id,hotel_name,SOURCE,price,base_price,checkIn,checkOut,count,rating,Info,latitude,longitude
963,1748545,Executives Hotel - Olaya,Booking.com,566.25,551.25,2025-01-21,2025-01-24,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
982,24143026,Joudyan Hotel,Booking.com,802.5,701.25,2025-01-13,2025-01-17,317,5.0,"['Free breakfast available', 'Free cancellation']",24.713552,46.675297
986,15239002,Shaza Riyadh,Booking.com,870.0,783.75,2025-01-13,2025-01-17,176,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.675924,46.7792
991,3349253,Carawan Al Fahad Hotel,Booking.com,532.5,465.0,2025-01-13,2025-01-17,54,4.0,"['Free breakfast available', 'Free cancellation']",24.711273,46.671043
993,810042,Continent Al Waha Hotel,Booking.com,731.25,693.75,2025-01-13,2025-01-17,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
994,3250538,Al Mashreq Boutique Hotel,Booking.com,1477.5,783.75,2025-01-13,2025-01-17,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
997,1748545,Executives Hotel - Olaya,Booking.com,566.25,551.25,2025-01-13,2025-01-17,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
1004,3879255,OYO 146 Al Asemah Hotel,Expedia,266.25,266.25,2025-01-13,2025-01-17,3,3.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.641687,46.72113
1016,9702375,Rosh Rayhaan by Rotana,Official Site,2212.5,1743.75,2025-02-17,2025-02-18,1311,4.5,"['Free breakfast available', 'Free cancellation']",24.700346,46.682137
1020,15239002,Shaza Riyadh,Booking.com,870.0,870.0,2025-02-17,2025-02-18,176,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.675924,46.7792
1025,810042,Continent Al Waha Hotel,Booking.com,843.75,772.5,2025-02-17,2025-02-18,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
1026,3250538,Al Mashreq Boutique Hotel,Booking.com,783.75,783.75,2025-02-17,2025-02-18,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
1028,10131963,Spectrums Hotel Riyadh,Booking.com,641.25,596.25,2025-02-17,2025-02-18,189,4.5,"['Free breakfast available', 'Free cancellation']",24.700665,46.678635
1029,1748545,Executives Hotel - Olaya,Booking.com,592.5,517.5,2025-02-17,2025-02-18,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
1036,3879255,OYO 146 Al Asemah Hotel,Expedia,266.25,266.25,2025-02-17,2025-02-18,3,3.5,"['Free breakfast available', 'Free cancellation']",24.641687,46.72113
1053,9702375,Rosh Rayhaan by Rotana,Official Site,1335.0,1050.0,2025-01-25,2025-01-29,1311,4.5,"['Free breakfast available', 'Free cancellation']",24.700346,46.682137
1055,24143026,Joudyan Hotel,Booking.com,802.5,693.75,2025-01-25,2025-01-29,317,5.0,"['Free breakfast available', 'Free cancellation']",24.713552,46.675297
1059,15239002,Shaza Riyadh,Booking.com,776.25,671.25,2025-01-25,2025-01-29,176,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.675924,46.7792
1065,15215188,Fairmont Riyadh,Fairmont,2152.5,1608.75,2025-01-25,2025-01-29,220,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.808397,46.71805
1066,3349253,Carawan Al Fahad Hotel,Booking.com,532.5,446.25,2025-01-25,2025-01-29,54,4.0,"['Free breakfast available', 'Free cancellation']",24.711273,46.671043
1068,810042,Continent Al Waha Hotel,Booking.com,750.0,690.0,2025-01-25,2025-01-29,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
1069,3250538,Al Mashreq Boutique Hotel,Booking.com,783.75,783.75,2025-01-25,2025-01-29,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
1071,10131963,Spectrums Hotel Riyadh,Booking.com,615.0,615.0,2025-01-25,2025-01-29,189,4.5,"['Free breakfast available', 'Free cancellation']",24.700665,46.678635
1072,1748545,Executives Hotel - Olaya,Booking.com,566.25,521.25,2025-01-25,2025-01-29,165,4.0,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
1081,3879255,OYO 146 Al Asemah Hotel,Expedia,266.25,266.25,2025-01-25,2025-01-29,3,3.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.641687,46.72113
